;time;be_de;be_fr;de_fr
7902;20201125_0600;0.0;192.6;292.3
7903;20201125_0700;0.0;99.6;691.6
7904;20201125_0800;0.0;0.0;716.7
7905;20201125_0900;307.3;482.1;489.9
7906;20201125_1000;0.0;500.0;500.0
7907;20201125_1100;363.9;98.9;98.9
7908;20201125_1200;0.0;0.0;732.9
7909;20201125_1300;0.0;0.0;740.5
7910;20201125_1400;0.0;352.7;418.4
7911;20201125_1500;0.0;161.6;321.1
7912;20201125_1600;291.1;101.0;101.0
7913;20201125_1700;375.5;151.1;151.1
7914;20201125_1800;364.2;181.6;181.6
7915;20201125_1900;361.9;189.0;189.0
7916;20201125_2000;343.4;147.3;147.3
7917;20201125_2100;42.3;191.3;191.3
7918;20201125_2200;0.0;177.7;207.9
7919;20201125_2300;0.0;198.5;278.1
7920;20201126_0000;0.0;293.7;311.0
7921;20201126_0100;0.0;265.2;391.5
7922;20201126_0200;0.0;185.6;567.5
7923;20201126_0300;0.0;112.8;645.8
7924;20201126_0400;0.0;195.0;548.6
7925;20201126_0500;0.0;212.2;507.0
7926;20201126_0600;0.0;263.5;431.6
7927;20201126_0700;56.8;322.9;677.1
7928;20201126_0800;250.4;411.9;588.1
7929;20201126_0900;0.0;372.1;627.9
7930;20201126_1000;0.0;0.0;280.7
7931;20201126_1100;251.1;408.6;591.3
7932;20201126_1200;0.0;256.3;682.5
7933;20201126_1300;0.0;277.3;722.7
7934;20201126_1400;309.7;484.5;515.5
7935;20201126_1500;0.0;55.5;670.7
7936;20201126_1600;0.0;224.4;250.7
7937;20201126_1700;0.0;218.9;218.9
7938;20201126_1800;0.0;216.8;216.8
7939;20201126_1900;0.0;200.5;245.1
7940;20201126_2000;0.0;200.5;260.6
7941;20201126_2100;0.0;218.3;264.5
7942;20201126_2200;0.0;257.4;257.4
7943;20201126_2300;0.0;251.0;341.3
7944;20201127_0000;0.0;201.5;495.7
7945;20201127_0100;0.0;202.5;554.5
7946;20201127_0200;44.4;111.8;591.1
7947;20201127_0300;18.4;101.4;609.7
7948;20201127_0400;0.0;176.7;596.9
7949;20201127_0500;0.0;241.0;481.5
7950;20201127_0600;0.0;239.9;422.9
7951;20201127_0700;52.4;326.4;673.6
7952;20201127_0800;0.0;0.0;350.4
7953;20201127_0900;0.0;224.4;689.9
7954;20201127_1000;544.1;568.0;417.8
7955;20201127_1100;0.0;460.3;508.6
7956;20201127_1200;31.9;468.1;531.9
7957;20201127_1300;352.7;56.2;56.2
7958;20201127_1400;344.3;500.0;500.0
7959;20201127_1500;51.9;461.1;468.5
7960;20201127_1600;447.6;172.2;172.2
7961;20201127_1700;423.1;89.1;89.1
7962;20201127_1800;371.0;124.3;124.3
7963;20201127_1900;0.0;228.4;228.4
7964;20201127_2000;0.0;203.7;203.7
7965;20201127_2100;0.0;213.1;213.1
7966;20201127_2200;0.0;246.2;246.2
7967;20201127_2300;0.0;276.1;276.1
7968;20201128_0000;0.0;252.2;385.4
7969;20201128_0100;0.0;202.3;524.8
7970;20201128_0200;0.0;182.9;578.9
7971;20201128_0300;0.0;196.1;587.6
7972;20201128_0400;0.0;308.8;463.9
7973;20201128_0500;0.0;343.1;395.1
7974;20201128_0600;0.0;286.5;358.0
7975;20201128_0700;316.5;203.7;203.7
7976;20201128_0800;4.4;469.5;530.5
7977;20201128_0900;338.5;523.8;476.2
7978;20201128_1000;0.0;0.0;0.0
7979;20201128_1100;0.0;341.7;553.8
7980;20201128_1200;0.0;0.0;0.0
7981;20201128_1300;12.3;477.5;522.5
7982;20201128_1400;0.0;0.0;691.7
7983;20201128_1500;0.0;183.2;292.9
7984;20201128_1600;0.0;0.0;0.0
7985;20201128_1700;241.6;29.6;29.6
7986;20201128_1800;229.8;10.6;10.6
7987;20201128_1900;247.9;12.6;12.6
7988;20201128_2000;0.0;0.0;0.0
7989;20201128_2100;0.0;0.0;0.0
7990;20201128_2200;283.9;26.3;26.3
7991;20201128_2300;379.8;46.2;46.2
7992;20201129_0000;427.2;63.1;63.1
7993;20201129_0100;328.5;12.1;12.1
7994;20201129_0200;403.1;92.5;92.5
7995;20201129_0300;419.7;101.5;101.5
7996;20201129_0400;330.8;121.7;121.7
7997;20201129_0500;228.7;97.1;97.1
7998;20201129_0600;354.0;83.7;83.7
7999;20201129_0700;37.9;480.2;519.8
8000;20201129_0800;336.1;101.8;101.8
8001;20201129_0900;0.0;454.1;522.7
8002;20201129_1000;0.0;466.6;513.0
8003;20201129_1100;162.7;467.1;532.9
8004;20201129_1200;0.0;460.6;517.7
8005;20201129_1300;0.0;328.0;672.0
8006;20201129_1400;0.0;434.6;490.7
8007;20201129_1500;0.0;0.0;672.2
8008;20201129_1600;0.0;51.2;269.3
8009;20201129_1700;0.0;173.4;241.2
8010;20201129_1800;0.0;193.5;224.1
8011;20201129_1900;0.0;171.6;231.2
8012;20201129_2000;0.0;162.7;216.8
8013;20201129_2100;0.0;100.3;226.5
8014;20201129_2200;0.0;206.0;264.6
8015;20201129_2300;0.0;262.9;262.9
8016;20201130_0000;0.0;323.7;324.3
8017;20201130_0100;0.0;352.3;354.9
8018;20201130_0200;0.0;11.1;676.4
8019;20201130_0300;0.0;62.4;645.5
8020;20201130_0400;0.0;74.0;625.0
8021;20201130_0500;0.0;298.7;324.4
8022;20201130_0600;0.0;89.9;323.5
8023;20201130_0700;0.0;171.3;308.9
8024;20201130_0800;0.0;171.3;303.9
8025;20201130_0900;153.2;191.3;191.3
8026;20201130_1000;439.4;229.0;229.0
8027;20201130_1100;0.0;411.0;418.4
8028;20201130_1200;0.0;347.4;403.8
8029;20201130_1300;0.0;364.3;418.5
8030;20201130_1400;0.0;234.2;261.0
8031;20201130_1500;0.0;237.5;237.5
8032;20201130_1600;351.2;92.9;92.9
8033;20201130_1700;0.0;0.0;0.0
8034;20201130_1800;423.5;42.2;42.2
8035;20201130_1900;383.5;24.0;24.0
8036;20201130_2000;379.2;71.4;71.4
8037;20201130_2100;316.5;127.9;127.9
8038;20201130_2200;316.6;218.2;218.2
8039;20201130_2300;353.9;177.1;177.1
8040;20201201_0000;0.0;173.9;173.9
8041;20201201_0100;104.3;152.9;152.9
8042;20201201_0200;375.5;73.8;73.8
8043;20201201_0300;314.8;61.3;61.3
8044;20201201_0400;326.0;72.1;72.1
8045;20201201_0500;259.2;10.5;10.5
8046;20201201_0600;281.9;28.9;28.9
8047;20201201_0700;372.5;341.7;341.7
8048;20201201_0800;353.6;500.0;500.0
8049;20201201_0900;319.4;500.0;500.0
