;time;be_de;be_fr;de_fr
4906;20200723_1000;407.9;225.3;225.3
4907;20200723_1100;467.6;174.7;174.7
4908;20200723_1200;681.6;135.2;105.8
4909;20200723_1300;671.3;99.3;65.9
4910;20200723_1400;0.0;0.0;0.0
4911;20200723_1500;307.2;20.9;20.9
4912;20200723_1600;382.9;86.2;86.2
4913;20200723_1700;318.9;141.4;141.4
4914;20200723_1800;325.0;199.0;199.0
4915;20200723_1900;406.5;109.4;109.4
4916;20200723_2000;423.5;113.6;113.6
4917;20200723_2100;448.6;209.0;209.0
4918;20200723_2200;516.1;238.4;238.4
4919;20200723_2300;544.5;275.8;275.8
4920;20200724_0000;731.9;375.6;342.0
4921;20200724_0100;682.7;423.2;385.7
4922;20200724_0200;553.4;470.2;470.2
4923;20200724_0300;483.5;419.2;419.2
4924;20200724_0400;651.5;506.2;493.4
4925;20200724_0500;469.0;440.4;440.4
4926;20200724_0600;398.8;403.3;403.3
4927;20200724_0700;350.8;335.1;335.1
4928;20200724_0800;440.9;258.8;258.8
4929;20200724_0900;433.2;249.1;249.1
4930;20200724_1000;403.5;147.8;147.8
4931;20200724_1100;616.3;102.9;99.6
4932;20200724_1200;563.2;55.0;39.1
4933;20200724_1300;519.3;0.0;0.0
4934;20200724_1400;245.8;37.7;37.7
4935;20200724_1500;0.0;0.0;0.0
4936;20200724_1600;0.0;0.0;0.0
4937;20200724_1700;387.6;50.7;50.7
4938;20200724_1800;355.6;125.6;125.6
4939;20200724_1900;349.8;117.8;117.8
4940;20200724_2000;382.4;114.7;114.7
4941;20200724_2100;469.7;125.9;125.9
4942;20200724_2200;497.8;241.7;241.7
4943;20200724_2300;524.9;277.8;277.8
4944;20200725_0000;543.3;298.0;298.0
4945;20200725_0100;782.1;293.1;275.4
4946;20200725_0200;755.7;369.0;318.9
4947;20200725_0300;496.8;339.7;339.7
4948;20200725_0400;714.6;496.6;396.3
4949;20200725_0500;400.9;362.0;362.0
4950;20200725_0600;261.6;286.2;286.2
4951;20200725_0700;442.5;232.4;232.4
4952;20200725_0800;359.7;165.8;165.8
4953;20200725_0900;305.8;185.9;185.9
4954;20200725_1000;299.6;249.4;249.4
4955;20200725_1100;295.4;212.4;212.4
4956;20200725_1200;337.2;217.7;217.7
4957;20200725_1300;380.3;245.5;229.3
4958;20200725_1400;371.9;232.9;203.9
4959;20200725_1500;414.1;152.9;138.7
4960;20200725_1600;299.6;31.0;31.0
4961;20200725_1700;246.9;150.4;150.4
4962;20200725_1800;242.5;220.7;220.7
4963;20200725_1900;277.5;207.5;207.5
4964;20200725_2000;328.2;248.7;248.7
4965;20200725_2100;441.2;225.2;225.2
4966;20200725_2200;479.0;300.9;300.9
4967;20200725_2300;553.3;374.9;360.2
4968;20200726_0000;266.4;79.7;102.1
4969;20200726_0100;376.4;144.0;144.0
