;time;be_de;be_fr;de_fr
2803;20200426_1900;324.0;378.3;378.3
2804;20200426_2000;316.1;420.4;420.4
2805;20200426_2100;329.5;383.5;383.5
2806;20200426_2200;355.0;363.6;363.6
2807;20200426_2300;357.9;336.2;336.2
2808;20200427_0000;348.1;312.5;312.5
2809;20200427_0100;339.1;306.0;306.0
2810;20200427_0200;358.7;334.5;334.5
2811;20200427_0300;367.6;354.3;354.3
2812;20200427_0400;385.7;380.9;380.9
2813;20200427_0500;345.2;402.1;402.1
2814;20200427_0600;320.2;202.5;202.5
2815;20200427_0700;102.0;16.5;16.5
2816;20200427_0800;0.0;0.0;0.0
2817;20200427_0900;0.0;0.0;0.0
2818;20200427_1000;216.6;52.9;52.9
2819;20200427_1100;448.9;135.9;135.9
2820;20200427_1200;411.2;187.7;187.7
2821;20200427_1300;303.8;259.6;259.6
2822;20200427_1400;283.2;330.6;355.3
2823;20200427_1500;254.9;401.4;469.0
2824;20200427_1600;235.4;429.0;535.0
2825;20200427_1700;297.0;459.3;540.7
2826;20200427_1800;214.1;421.6;578.3
2827;20200427_1900;312.9;467.2;467.2
2828;20200427_2000;287.1;462.6;534.3
2829;20200427_2100;249.7;374.0;626.0
2830;20200427_2200;401.7;488.0;488.0
2831;20200427_2300;395.4;500.0;500.0
2832;20200428_0000;391.2;500.0;500.0
2833;20200428_0100;410.6;500.0;500.0
2834;20200428_0200;407.9;499.6;499.6
2835;20200428_0300;398.5;456.6;456.6
2836;20200428_0400;393.9;440.1;440.1
2837;20200428_0500;384.2;478.3;478.3
2838;20200428_0600;338.8;449.9;457.7
2839;20200428_0700;358.9;315.5;325.3
2840;20200428_0800;384.1;302.6;316.0
2841;20200428_0900;384.3;285.6;285.6
2842;20200428_1000;399.9;247.9;247.9
2843;20200428_1100;402.6;261.0;261.0
2844;20200428_1200;350.2;295.0;302.5
2845;20200428_1300;305.3;377.5;413.4
2846;20200428_1400;274.5;396.8;450.0
2847;20200428_1500;303.5;406.5;452.2
2848;20200428_1600;265.0;429.1;553.1
2849;20200428_1700;305.0;452.2;547.7
2850;20200428_1800;263.0;425.3;574.6
2851;20200428_1900;394.1;500.0;500.0
2852;20200428_2000;250.3;404.4;595.5
2853;20200428_2100;268.9;223.8;339.4
2854;20200428_2200;408.3;287.1;411.4
2855;20200428_2300;416.5;316.7;316.7
2856;20200429_0000;457.1;371.6;371.6
2857;20200429_0100;405.3;468.1;479.5
2858;20200429_0200;506.4;394.6;394.6
2859;20200429_0300;517.8;318.5;318.5
2860;20200429_0400;385.4;401.9;401.9
2861;20200429_0500;359.9;359.8;359.8
2862;20200429_0600;323.2;344.3;348.4
2863;20200429_0700;272.9;302.5;317.6
2864;20200429_0800;274.0;304.9;333.6
2865;20200429_0900;303.4;311.8;350.2
2866;20200429_1000;272.0;332.3;371.9
2867;20200429_1100;280.7;317.6;376.0
2868;20200429_1200;301.1;376.6;419.0
2869;20200429_1300;290.5;330.6;356.4
2870;20200429_1400;257.9;329.5;373.4
2871;20200429_1500;224.5;313.7;366.2
2872;20200429_1600;208.6;342.5;503.6
2873;20200429_1700;218.7;356.3;386.3
2874;20200429_1800;218.2;353.1;646.8
2875;20200429_1900;372.6;500.0;500.0
2876;20200429_2000;267.8;382.4;386.3
2877;20200429_2100;409.4;282.6;429.8
2878;20200429_2200;301.3;81.2;76.1
2879;20200429_2300;191.3;0.0;0.0
2880;20200430_0000;455.0;63.3;63.3
2881;20200430_0100;502.8;211.9;211.9
2882;20200430_0200;420.7;350.3;350.3
2883;20200430_0300;409.0;338.5;338.5
2884;20200430_0400;380.1;326.7;326.7
2885;20200430_0500;414.1;384.6;341.3
2886;20200430_0600;294.6;479.2;520.8
2887;20200430_0700;270.0;476.5;523.5
2888;20200430_0800;288.9;464.7;527.8
2889;20200430_0900;274.5;457.3;531.3
2890;20200430_1000;250.5;455.4;532.7
2891;20200430_1100;284.6;448.6;533.1
2892;20200430_1200;262.2;437.5;518.6
2893;20200430_1300;239.9;441.5;557.5
2894;20200430_1400;299.9;473.3;526.7
2895;20200430_1500;294.3;473.0;527.0
2896;20200430_1600;244.7;447.9;552.1
2897;20200430_1700;315.5;480.9;519.0
2898;20200430_1800;241.7;356.1;643.9
2899;20200430_1900;270.5;403.4;596.5
